image,awcrs310_add,unité,unité1,unité2,description,spanwcrs310_origine,image3,image4,image5,awcrs310_add2list
https://fd3-photos.leclercdrive.fr/image.ashx?id=2571890&use=l&cat=p&typeid=i,Ajouter Produit,                     5                 ,"                     ,99                 ","                     13,61 € / l                 ",Concentré Sodastream                     7 Up Free Mojito - 440ml                  ,,,,,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2057836&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré Sodastream                     Parfum cola - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2058175&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré cola light                     Sodastream - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2279639&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré cola sans sucres                     Sodastream - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2057839&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré xstream ernergy                     Sodastream - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2279636&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré saveur citron                     Sodastream - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2267987&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré agrumes zéro                     Sodastream - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2279048&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré saveur limonade zero                     Sodastream - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2058166&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,89                 ","                     9,78 € / l                 ",Concentré saveur mojito                     Sodastream - 500ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2339075&use=l&cat=p&typeid=i,Ajouter Produit,                     2                 ,"                     ,82                 ","                     4,70 € / l                 ",Sirop Capri Sun                     Multivitaminé - 60 Cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=35&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2555418&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,78                 ","                     5,04 € / l                 ",Sirop Oasis                     Grenadine - 75cl                  ,,https://fd3-photos.leclercdrive.fr/PictoLabelQualite.ashx?id=142&mindim=25&v=2,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=33&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2555421&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,22                 ","                     4,29 € / l                 ",Sirop Oasis                      Menthe Citron - 75cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=33&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622245&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,46                 ","                     0,73 € / l                 ",Thé glacé Fresh Tea                     Pêche - 2L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=24&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622242&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,12                 ","                     0,75 € / l                 ","Thé glacé Fresh Tea                     Pêche - 1,5L                  ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622266&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,12                 ","                     0,75 € / l                 ","Thé glacé zéro Fresh Tea                      Pêche - 1,5L                  ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622281&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,12                 ","                     0,75 € / l                 ",Boisson thé Fresh Tea                     Pêche abricot - 1.5L                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
