Titre,Lien_du_titre,image,prix,étiquette,motclé,pltext,unité,dsproductcardrefonte_origintext,image1,dsproductcardrefonte_shimzonesmall
 Merguez halal de volaille CARREFOUR ,https://www.carrefour.fr/p/merguez-halal-de-volaille-carrefour-3560070569212?t=1922,https://media.carrefour.fr/medias/0ba8793bc3413c7885caf3b13ab6e34f/p_200x200/3560070569212-0.jpg," 3,65 ",, la barquette de 6 - 300 g  12.17 € / KG , la barquette de 6 - 300 g , 12.17 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-frenchpoultrymeat.svg, 12.17 € / KG 
 Saucisses halal de volaille CARREFOUR ,https://www.carrefour.fr/p/saucisses-halal-de-volaille-carrefour-3560070569182?t=1922,," 3,65 ",, la barquette de 6 - 300 g  12.17 € / KG , la barquette de 6 - 300 g , 12.17 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-frenchpoultrymeat.svg, 12.17 € / KG 
 Viande de porc : côtes premières sans os à griller ,https://www.carrefour.fr/p/viande-de-porc-cotes-premieres-sans-os-a-griller-3276559975657?t=1922,," 1,58 ",, les 2 pièces - 200g  7.90 € / KG , les 2 pièces - 200g , 7.90 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 7.90 € / KG 
 Viande bovine : jarret avec os à mijoter ,https://www.carrefour.fr/p/viande-bovine-jarret-avec-os-a-mijoter-3276559967300?t=1922,," 4,39 ",, la barquette de 550g  7.99 € / KG , la barquette de 550g , 7.99 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 7.99 € / KG 
 Viande de porc : escalopes de jambon ,https://www.carrefour.fr/p/viande-de-porc-escalopes-de-jambon-3276559975213?t=1922,," 4,45 ",, les 5 pièces - 500g  8.90 € / KG , les 5 pièces - 500g , 8.90 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 8.90 € / KG 
 Viande de porc : 1/2 palette à mijoter ,https://www.carrefour.fr/p/viande-de-porc-1-2-palette-a-mijoter-3276559975404?t=1922,," 9,20 ",, la pièce - 1Kg  9.20 € / KG , la pièce - 1Kg , 9.20 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 9.20 € / KG 
 Viande d'agneau : poitrine *  à mijoter ,https://www.carrefour.fr/p/viande-d-agneau-poitrine-a-mijoter-3276559959374?t=1922,," 3,76 ",, la barquette de 400g  9.40 € / KG , la barquette de 400g , 9.40 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 9.40 € / KG 
 Viande de porc : côtes premières avec os à griller ,https://www.carrefour.fr/p/viande-de-porc-cotes-premieres-avec-os-a-griller-3276559975671?t=1922,," 2,68 ",, les 2 pièces - 280g  9.59 € / KG , les 2 pièces - 280g , 9.59 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 9.59 € / KG 
 Viande de porc : côtes échine à griller ,https://www.carrefour.fr/p/viande-de-porc-cotes-echine-a-griller-3276559975732?t=1922,," 3,35 ",, les 2 pièces - 350g  9.59 € / KG , les 2 pièces - 350g , 9.59 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 9.59 € / KG 
 Viande de porc : côtes échine sans os à griller ,https://www.carrefour.fr/p/viande-de-porc-cotes-echine-sans-os-a-griller-3276559975664?t=1922,," 2,34 ",, les 2 pièces - 240g  9.79 € / KG , les 2 pièces - 240g , 9.79 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 9.79 € / KG 
 Viande bovine : bourguignon *** à mijoter ,https://www.carrefour.fr/p/viande-bovine-bourguignon-a-mijoter-3276559967348?t=1922,," 5,60 ",, la barquette de 500g  11.20 € / KG , la barquette de 500g , 11.20 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 11.20 € / KG 
 Viande de porc : grillade de porc ,https://www.carrefour.fr/p/viande-de-porc-grillade-de-porc-3276559975152?t=1922,," 2,25 ",, la pièce - 190g  11.89 € / KG , la pièce - 190g , 11.89 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 11.89 € / KG 
 Viande bovine : pot au feu ** avec os à mijoter (plat de côte) ,https://www.carrefour.fr/p/viande-bovine-pot-au-feu-avec-os-a-mijoter-plat-de-cote-3276559968482?t=1922,," 10,31 ",, la barquette de 800g  12.89 € / KG , la barquette de 800g , 12.89 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 12.89 € / KG 
 Viande bovine : paleron à mijoter ,https://www.carrefour.fr/p/viande-bovine-paleron-a-mijoter-3276559967461?t=1922,," 6,45 ",, la barquette de 500g  12.90 € / KG , la barquette de 500g , 12.90 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 12.90 € / KG 
 Viande de veau : blanquette *** à mijoter ,https://www.carrefour.fr/p/viande-de-veau-blanquette-a-mijoter-3276551338405?t=1922,," 8,15 ",, la barquette de 500g  16.30 € / KG , la barquette de 500g , 16.30 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 16.30 € / KG 
 Viande bovine : 1x STEAK** à griller ,https://www.carrefour.fr/p/viande-bovine-1x-steak-a-griller-3276559969106?t=1922,," 2,82 ",, la barquette de 130g  21.75 € / KG , la barquette de 130g , 21.75 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 21.75 € / KG 
 Viande de veau : côte de veau sans os à griller ,https://www.carrefour.fr/p/viande-de-veau-cote-de-veau-sans-os-a-griller-3276551344703?t=1922,https://media.carrefour.fr/medias/a509753fa54d38f5b8c4a59f1c4be789/p_200x200/3276551344703-0.jpg," 2,83 ",, la pièce - 130g  21.80 € / KG , la pièce - 130g , 21.80 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 21.80 € / KG 
 Viande bovine : hampe ** à griller ,https://www.carrefour.fr/p/viande-bovine-hampe-a-griller-3276559969045?t=1922,https://media.carrefour.fr/medias/e8231ffb55923c52bb401273f29aaae8/p_200x200/3276559969045-0.jpg," 3,52 ",, la pièce - 150g  23.50 € / KG , la pièce - 150g , 23.50 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 23.50 € / KG 
 Viande bovine : entrecôte *** à griller ,https://www.carrefour.fr/p/viande-bovine-entrecote-a-griller-3276559968826?t=1922,https://media.carrefour.fr/medias/24b302cfea3938c993ca4326d5d49bc5/p_200x200/3276559968826-0.jpg," 14,33 ",, les 3 pièces - 600g  23.89 € / KG , les 3 pièces - 600g , 23.89 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 23.89 € / KG 
 Viande de veau : escalope*** FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/viande-de-veau-escalope-filiere-qualite-carrefour-3276551243914?t=1922,https://media.carrefour.fr/medias/f174368cbd1b32608c3c189335d479a7/p_200x200/3276551243914-0.jpg," 6,39 ",, les 2 pièces - 260g  24.60 € / KG , les 2 pièces - 260g , 24.60 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 24.60 € / KG 
 Viande bovine : onglet *** à griller ,https://www.carrefour.fr/p/viande-bovine-onglet-a-griller-3276559969212?t=1922,https://media.carrefour.fr/medias/d967f16f26ea3b8a886fa316055a901e/p_200x200/3276559969212-0.jpg," 3,23 ",, la pièce - 130g  24.90 € / KG , la pièce - 130g , 24.90 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 24.90 € / KG 
 Viande bovine : côte de bœuf à griller ,https://www.carrefour.fr/p/viande-bovine-cote-de-boeuf-a-griller-3276559967829?t=1922,https://media.carrefour.fr/medias/9a7a633dfb03381d860b4c89f4448c52/p_200x200/3276559967829-0.jpg," 23,08 ",, la pièce - 900g  25.65 € / KG , la pièce - 900g , 25.65 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 25.65 € / KG 
 Viande bovine : pavé de rumsteck *** à griller ,https://www.carrefour.fr/p/viande-bovine-pave-de-rumsteck-a-griller-3276559968000?t=1922,https://media.carrefour.fr/medias/b64b66df96e93b4a98fed1aaacc6ca53/p_200x200/3276559968000-0.jpg," 4,02 ",, la pièce - 150g  26.80 € / KG , la pièce - 150g , 26.80 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 26.80 € / KG 
 Viande bovine : 1x BAVETTE D'ALOYAU*** à griller ,https://www.carrefour.fr/p/viande-bovine-1x-bavette-d-aloyau-a-griller-3276559969144?t=1922,https://media.carrefour.fr/medias/0d2329e65698364d9b2572f9e7e03721/p_200x200/3276559969144-0.jpg," 3,51 ",, la barquette de 130g  27.05 € / KG , la barquette de 130g , 27.05 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 27.05 € / KG 
