web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545424-60","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 2 pots de 150 g",""
"1706545424-61","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-62","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Fromage blanc nature 3,2% MG",""
"1706545424-63","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 8 pots de 100g - 800g",""
"1706545424-64","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-65","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt à la grecque nature",""
"1706545424-66","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 12 pots de 125 g - 1,5kg",""
"1706545424-67","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-68","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Frutimax - Yaourts avec morceaux de fruits",""
"1706545424-69","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 16 pots de 125g - 2kg",""
"1706545424-70","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Danone",""
"1706545424-71","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt aux fruits brassé - Velouté Fruix",""
"1706545424-72","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 16 pots de 125g - 2kg",""
"1706545424-73","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-74","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Fromage blanc nature",""
"1706545424-75","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","le pot de 1 kg",""
"1706545424-76","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
