web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545146-125","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Navets VIOLETS",""
"1706545146-126","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 130 gr (soit 1 navet)",""
"1706545146-127","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-128","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-129","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Salade BATAVIA BLONDE",""
"1706545146-130","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-131","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","vendu à la pièce",""
"1706545146-132","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-133","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-134","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Tomates CERISES",""
"1706545146-135","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-136","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","la barquette de 250g",""
"1706545146-137","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","MAROC",""
"1706545146-138","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-139","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Aubergines VIOLETTES",""
"1706545146-140","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-141","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 400 gr (soit 1 aubergine)",""
"1706545146-142","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-143","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-144","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Carottes NON LAVEES",""
"1706545146-145","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-146","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 120 gr (soit 1 carotte)",""
"1706545146-147","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-148","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Petit prix",""
"1706545146-149","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Courgettes",""
"1706545146-150","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 2",""
"1706545146-151","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le filet de 1 kg",""
"1706545146-152","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-153","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-154","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Potimarron",""
"1706545146-155","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-156","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","la pièce",""
"1706545146-157","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-158","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir",""
"1706545146-159","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","BLANCS de poireaux",""
"1706545146-160","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-161","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le sachet de 500 g",""
"1706545146-162","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-163","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir",""
"1706545146-164","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Pommes de terre FRITES",""
"1706545146-165","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-166","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le filet de 2,5 kg",""
"1706545146-167","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-168","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir Bio",""
"1706545146-169","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Oignon JAUNE BIO",""
"1706545146-170","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 2",""
"1706545146-171","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le filet de 1 kg",""
"1706545146-172","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-173","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir Bio",""
"1706545146-174","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Avocats HASS BIO",""
"1706545146-175","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 2",""
"1706545146-176","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","la barquette de 2",""
"1706545146-177","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-178","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-179","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Céleri BRANCHE VERT",""
"1706545146-180","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-181","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 150g environ (soit 1 tige)",""
"1706545146-182","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-183","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir Bio",""
"1706545146-184","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Pommes de terre VAPEUR BIO",""
"1706545146-185","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 2",""
"1706545146-186","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le sachet de 1,5 kg",""
"1706545146-187","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-188","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-189","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Champignons BRUNS",""
"1706545146-190","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-191","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 50 gr (soit 2 champignons)",""
"1706545146-192","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-193","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,65 €"
"1706545146-194","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","11,00 €/Kg"
"1706545146-195","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,29 €"
"1706545146-196","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,72 €/Kg"
"1706545146-197","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,79 €"
"1706545146-198","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,19 €/Kg"
"1706545146-199","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,44 €"
"1706545146-200","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,79 €/Kg"
"1706545146-201","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,30 €"
"1706545146-202","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","12,99 €/Kg"
"1706545146-203","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,45 €"
"1706545146-204","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","2,99 €/Kg"
"1706545146-205","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,48 €"
"1706545146-206","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","3,69 €/Kg"
"1706545146-207","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,96 €"
"1706545146-208","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,79 €/Kg"
"1706545146-209","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,44 €"
"1706545146-210","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","3,69 €/Kg"
"1706545146-211","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,00 €"
"1706545146-212","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,99 €/Kg"
"1706545146-213","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,24 €"
"1706545146-214","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,99 €/Kg"
"1706545146-215","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,70 €"
"1706545146-216","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,69 €/Kg"
"1706545146-217","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,25 €"
"1706545146-218","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","2,49 €/Kg"
"1706545146-219","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,60 €"
"1706545146-220","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","5,99 €/Kg"
"1706545146-221","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,39 €"
"1706545146-222","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,39 €/Pièce"
"1706545146-223","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","3,99 €"
"1706545146-224","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","3,99 €/Pièce"
"1706545146-225","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,96 €"
"1706545146-226","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,79 €/Kg"
"1706545146-227","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","2,00 €"
"1706545146-228","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","3,99 €/Kg"
"1706545146-229","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,49 €"
"1706545146-230","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","4,49 €/Pièce"
"1706545146-231","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,69 €"
"1706545146-232","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","5,79 €/Kg"
"1706545146-233","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,39 €"
"1706545146-234","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,39 €/Pièce"
"1706545146-235","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","0,36 €"
"1706545146-236","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","2,99 €/Kg"
"1706545146-237","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","","1,29 €"
