web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706543106-133","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-134","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac – à partir de 200g environ (soit 1 pomme)",""
"1706543106-135","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-136","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-137","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Fruits de la PASSION",""
"1706543106-138","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-139","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","vendu à la pièce",""
"1706543106-140","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","VIETNAM",""
"1706543106-141","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir Bio",""
"1706543106-142","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pomme de table GOLDEN BIO",""
"1706543106-143","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-144","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","la barquette de 6 fruits",""
"1706543106-145","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-146","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Petit prix",""
"1706543106-147","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Poires",""
"1706543106-148","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-149","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","la barquette de 1 kg",""
"1706543106-150","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-151","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-152","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes CANADA",""
"1706543106-153","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-154","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac – à partir de 200g environ (soit 1 pomme)",""
"1706543106-155","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-156","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-157","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Orange FEUILLE",""
"1706543106-158","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-159","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 250g environ (soit 1 orange)",""
"1706543106-160","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","PORTUGAL",""
"1706543106-161","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir Bio",""
"1706543106-162","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Oranges BIO",""
"1706543106-163","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-164","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 4 fruits",""
"1706543106-165","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-166","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir Bio",""
"1706543106-167","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Kiwi HAYWARD BIO",""
"1706543106-168","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-169","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","la barquette de 6 fruits",""
"1706543106-170","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-171","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir Bio",""
"1706543106-172","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mandarines BIO",""
"1706543106-173","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-174","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 750 g",""
"1706543106-175","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-176","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-177","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Kiwis JAUNES",""
"1706543106-178","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-179","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","la barquette de 500g",""
"1706543106-180","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ITALIE",""
"1706543106-181","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-182","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Grenade",""
"1706543106-183","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-184","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","vendue à la pièce",""
"1706543106-185","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","TURQUIE",""
"1706543106-186","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-187","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pomme COEUR DE REINE",""
"1706543106-188","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-189","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le sac de 1,5kg",""
"1706543106-190","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-191","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-192","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Lime",""
"1706543106-193","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-194","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 500g",""
"1706543106-195","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","BRESIL",""
"1706543106-196","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-197","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes REINETTES ARMORIQUE",""
"1706543106-198","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-199","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac – à partir de 200g environ (soit 1 pomme)",""
"1706543106-200","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-201","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Allaire",""
"1706543106-202","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Marrons ENTIERS CUITS A LA VAPEUR",""
"1706543106-203","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","les 2 sachets de 200g - 400g",""
"1706543106-204","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-205","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Noix de COCO",""
"1706543106-206","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-207","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","vendu à la pièce",""
"1706543106-208","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","COTE D IVOIRE",""
"1706543106-209","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-210","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Raisin NOIR",""
"1706543106-211","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-212","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","la barquette de 500 gr environ",""
"1706543106-213","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","BRESIL",""
"1706543106-214","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-215","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Poire CAT 2",""
"1706543106-216","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-217","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 250 gr (soit 1 poire)",""
"1706543106-218","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-219","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
